3/04/2017 N Entrega_Sucursal LOBO PATRIOTISMO null CHRISTIAN_COTA Administrador null null MARLBORO 1 ECONOMICO 0 PIPA_CHICA 0 PIPA_GRANDE 2 PIPA_REFORZADA 0 BIC 3 ZIG_ZAG 0 ZIG_ZAG_ROJO 0 ZIG_ZAG_VERDE 0 HORNET_SABOR 2 HORNET_NATURAL 0 BLUNT 0 
3/04/2017 D Entrega_Sucursal DANIEL PROGRESO null GLORIA_I._GUERRERO Administrador null null MARLBORO 2 ECONOMICO 2 PIPA_CHICA 3 PIPA_GRANDE 5 PIPA_REFORZADA 0 BIC 6 ZIG_ZAG 0 ZIG_ZAG_ROJO 0 ZIG_ZAG_VERDE 0 HORNET_SABOR 2 HORNET_NATURAL 0 BLUNT 3 
3/04/2017 N Entrega_Sucursal LOBO PROGRESO null JAVIER_MORA Administrador null null MARLBORO 1 ECONOMICO 0 PIPA_CHICA 0 PIPA_GRANDE 0 PIPA_REFORZADA 0 BIC 0 ZIG_ZAG 0 ZIG_ZAG_ROJO 0 ZIG_ZAG_VERDE 0 HORNET_SABOR 0 HORNET_NATURAL 0 BLUNT 0 
3/04/2017 D Entrega_Sucursal DANIEL MUSICOS null GABRIEL_DUARTE Administrador null null MARLBORO 2 ECONOMICO 2 PIPA_CHICA 0 PIPA_GRANDE 0 PIPA_REFORZADA 0 BIC 3 ZIG_ZAG 0 ZIG_ZAG_ROJO 0 ZIG_ZAG_VERDE 0 HORNET_SABOR 2 HORNET_NATURAL 0 BLUNT 2 CERVEZA 0 
3/04/2017 D Entrega_Sucursal DANIEL SEPULVEDA null ANA_GOMEZ Administrador null null MARLBORO 2 ECONOMICO 1 PIPA_CHICA 5 PIPA_GRANDE 3 PIPA_REFORZADA 0 BIC 4 ZIG_ZAG 0 ZIG_ZAG_ROJO 0 ZIG_ZAG_VERDE 0 HORNET_SABOR 4 HORNET_NATURAL 0 BLUNT 2 
4/04/2017 D Entrega_Sucursal DANIEL CAVERNA null MARIO_CASTA�EDA Administrador null null MARLBORO 1 ECONOMICO 0 PIPA_CHICA 0 PIPA_GRANDE 0 PIPA_REFORZADA 0 BIC 0 ZIG_ZAG 0 ZIG_ZAG_ROJO 0 ZIG_ZAG_VERDE 0 HORNET_SABOR 0 HORNET_NATURAL 0 BLUNT 0 
4/04/2017 N Entrega_Sucursal LOBO CAVERNA null VICTOR_ARELLANO Administrador null null MARLBORO 2 ECONOMICO 0 PIPA_CHICA 3 PIPA_GRANDE 2 PIPA_REFORZADA 0 BIC 4 ZIG_ZAG 0 ZIG_ZAG_ROJO 0 ZIG_ZAG_VERDE 0 HORNET_SABOR 0 HORNET_NATURAL 0 BLUNT 0 
4/04/2017 D Entrega_Sucursal DANIEL BONICE null PAULINA_GPE._MEDINA Administrador null null MARLBORO 20 ECONOMICO 0 PIPA_CHICA 3 PIPA_GRANDE 0 PIPA_REFORZADA 0 BIC 3 ZIG_ZAG 0 ZIG_ZAG_ROJO 0 ZIG_ZAG_VERDE 0 HORNET_SABOR 0 HORNET_NATURAL 0 BLUNT 0 
4/04/2017 N Entrega_Sucursal LOBO BONICE null GUADALUPE_VARGAS Administrador null null MARLBORO 20 ECONOMICO 0 PIPA_CHICA 2 PIPA_GRANDE 2 PIPA_REFORZADA 0 BIC 2 ZIG_ZAG 0 ZIG_ZAG_ROJO 0 ZIG_ZAG_VERDE 0 HORNET_SABOR 0 HORNET_NATURAL 0 BLUNT 0 
4/04/2017 D Entrega_Sucursal DANIEL CD._HERMANOS null JESUS_GAXIOLA_ Administrador null null MARLBORO 1 ECONOMICO 0 PIPA_CHICA 0 PIPA_GRANDE 0 PIPA_REFORZADA 0 BIC 0 ZIG_ZAG 0 ZIG_ZAG_ROJO 0 ZIG_ZAG_VERDE 0 HORNET_SABOR 0 HORNET_NATURAL 0 BLUNT 0 
