MARLBORO 5.0 2.3 8.0 20
ECONOMICO 3.0 0.65 15.0 20
PIPA_CHICA 15.0 4.5 5.0 1
PIPA_GRANDE 30.0 5.5 5.0 1
PIPA_REFORZADA 60.0 23.0 10.0 1
BIC 18.0 12.5 10.0 1
HORNET_SABOR 15.0 3.0 4.0 1
ZIG_ZAG 25.0 18.0 4.0 1
BLUNT 25.0 10.0 2.0 1
CERVEZA 20.0 9.95 4.0 1
